艹	艸
诌	謅
诮	誚
谯	譙
轺	軺
钞	鈔
锹	鍬
鹪	鷦
龆	齠
嘱	囑
烛	燭
瞩	矚
触	觸
寸	吋
丛	叢
偬	傯
葱	蔥
宠	寵
总	總
聪	聰
苁	蓯
铳	銃
骢	驄
睃	脧
刍	芻
秋	鞦
丑	醜
坠	墜
枢	樞
皱	皺
绉	縐
缒	縋
诹	諏
趋	趨
邹	鄒
锤	錘
锥	錐
雏	雛
驺	騶
骓	騅
鲰	鯫
鳅	鰍
筑	築
缩	縮
轴	軸
术	朮
绌	絀
冲	沖
冲	衝
虫	蟲
赘	贅
骤	驟
鹫	鷲
侧	側
仄	庂
厕	廁
恻	惻
测	測
榇	櫬
龀	齔
层	層
致	緻
痴	癡
帜	幟
栀	梔
炽	熾
缁	緇
耻	恥
觯	觶
辎	輜
锱	錙
驰	馳
鲻	鯔
鸱	鴟
齿	齒
则	則
饬	飭
亲	親
衬	襯
寝	寢
针	針
锓	鋟
蛰	蟄
称	稱
侩	儈
哙	噲
堕	墮
椭	橢
缍	綞
诧	詫
锗	鍺
驮	馱
驼	駝
鸵	鴕
鼍	鼉
托	託
浊	濁
箨	籜
铎	鐸
镯	鐲
叹	歎
叹	嘆
弹	彈
惮	憚
掸	撣
摊	攤
殚	殫
滩	灘
痪	瘓
瘫	癱
绽	綻
诞	誕
夺	奪
脱	脫
掸	撢
贪	貪
赕	賧
鳎	鰨
汤	湯
烫	燙
砀	碭
荡	蕩
荡	盪
铴	鐋
兑	兌
台	颱
态	態
绐	紿
蜕	蛻
钛	鈦
骀	駘
鲐	鮐
择	擇
泽	澤
撑	撐
摅	攄
讨	討
钍	釷
吨	噸
恸	慟
统	統
颓	頹
囱	囪
铽	鋱
闯	闖
摆	擺
罢	罷
钯	鈀
颇	頗
办	辦
贩	販
钣	鈑
呗	唄
坝	壩
佩	珮
狈	狽
贝	貝
败	敗
钡	鋇
缏	緶
编	編
谝	諞
骗	騙
贬	貶
评	評
币	幣
废	廢
毙	斃
闭	閉
刨	鉋
刨	鑤
炮	砲
布	佈
抛	拋
疱	皰
钸	鈽
铺	鋪
饱	飽
鲍	鮑
龅	齙
表	錶
标	標
缥	縹
镖	鏢
镳	鑣
飘	飄
飙	飆
骠	驃
鳔	鰾
禀	稟
丰	豐
冯	馮
枫	楓
沣	灃
疯	瘋
讽	諷
风	風
摆	襬
铍	鈹
哔	嗶
毕	畢
滗	潷
笔	筆
筚	篳
荜	蓽
跸	蹕
铋	鉍
鹎	鵯
厦	廈
苄	芐
虾	蝦
贺	賀
学	學
泶	澩
疟	瘧
谑	謔
鹤	鶴
娴	嫻
扞	捍
汉	漢
焊	銲
钎	釬
闲	閑
闲	閒
韩	韓
鹇	鷳
鹇	鷴
辖	轄
咸	鹹
槛	檻
缄	緘
舰	艦
衔	啣
衔	銜
颔	頷
馅	餡
合	郃
合	閤
阖	闔
陕	陜
颌	頜
鸽	鴿
肮	骯
钪	鈧
闶	閌
项	項
颃	頏
该	該
谐	諧
赅	賅
颏	頦
骇	駭
鲑	鮭
核	覈
幸	倖
绗	絎
